优先级,SHA,日期,分类,类型,优化内容,Ascend价值,迁移策略,Patch冲突,工作量,风险,关键文件,迁移步骤,验证场景
P3,530852f9,2026-07-16,test-ci,bugfix,"【变更概述】[KV Connector] 修复：修复 PD async scheduling race condition hybrid attn models
【PR号】#48481
【变更类型】此",low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/test_nixl_connector_hma.py, vllm/v1/core/kv_cache_manager.py, vllm/v1/core/sched/scheduler.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,8c3393f3,2026-07-16,other,bugfix,[Bugfix][Rust Frontend] Limit chat top_logprobs in responses (#48134),none,skip,否,S,low-risk,"rust/src/server/src/routes/openai/chat_completions.rs, rust/src/server/src/routes/openai/chat_completions/convert.rs, rust/src/server/src/routes/openai/utils/logprobs.rs",,
skip,cc706b05,2026-07-16,other,bugfix,[Bugfix][Rust Frontend] Detokenizer: avoid leaking prompt on zero-generated-token completions (#4770,none,skip,否,S,low-risk,rust/src/tokenizer/src/incremental.rs,,
skip,dc9f845d,2026-07-16,other,bugfix,[Rust Frontend] Fix mock engine test shutdown race (#48738),none,skip,否,S,low-risk,rust/src/mock-engine/src/tests.rs,,
P3,12f2c515,2026-07-16,distributed,bugfix,"【变更概述】[Bugfix] 修复：修复 卸载 set_ overflow packed non-uniform KV caches
【PR号】#48530
【变更类型】此提交为问题修复类型
【变更文",low,auto-inherit,否,S,low-risk,vllm/distributed/kv_transfer/kv_connector/v1/offloading/worker.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,59b964f3,2026-07-16,test-ci,bugfix,"【变更概述】修复：fix(lora validate LoRA rank is positive PEFTHelper
【PR号】#48437
【变更类型】此提交为问题修复类型
【变更文件】修改 te",low,auto-inherit,否,S,low-risk,"tests/lora/test_peft_helper.py, vllm/lora/peft_helper.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,6a9f24aa,2026-07-16,core-engine,bugfix,"【变更概述】【MRV2】[ROCm] 【MRV2】[CI] 【MRV2】修复：修复 CUDA graph mem profile issue
【PR号】#48764
【变更类型】此提交为问题修复类型
",medium,cherry-pick,否,S,medium-risk,vllm/v1/worker/gpu_model_runner.py,Cherry-pick 上游 PR 到 vllm-ascend 对应路径 | 验证 vllm/v1/worker/gpu_model_runner.py 修改未破坏 NPUModelRunner,确认 core-engine 模块在 Ascend 行为一致
P3,df8a0900,2026-07-16,other,bugfix,"【变更概述】[BugFix] 更新：Don't apply weight batch-invariant RMSNorm when has_weight=False
【PR号】#48741
【变更类型",low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/batch_invariant.py, vllm/model_executor/layers/layernorm.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,2db39c70,2026-07-16,model-architecture,bugfix,"【变更概述】[Bugfix] [Spec Decode] 修复：修复 eagle3 first-layer qkv_proj prefix quantized drafts
【PR号】#48068
【",medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/llama_eagle3.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
skip,3935829f,2026-07-16,other,bugfix,[Docs] fix error key name (#48802),none,skip,否,S,low-risk,docs/deployment/k8s.md,,
skip,77469612,2026-07-16,test-ci,bugfix,[CI] Fix flaky lora test (#47375),none,skip,否,S,low-risk,tests/lora/test_gptoss_tp.py,,
P2,3c1bc1fc,2026-07-16,attention-kv-cache,performance,"【变更概述】[ROCm] [Perf] 优化：优化 sparse 注意力 prefill 内核 DeepSeek-V4
【PR号】#48519
【变更类型】此提交为性能优化类型
【变更文件】修改 vl",medium,idea-copy,否,L,medium-risk,vllm/v1/attention/ops/rocm_aiter_mla_sparse.py,理解上游优化思路（vllm/v1/attention/ops/rocm_aiter_mla_sparse.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 attention-kv-cache 模块在 Ascend 行为一致
P2,3a5e88e6,2026-07-16,config,bugfix,"【变更概述】[Bugfix] 修复：修复 local speculators dots name from classifying as custom_class
【PR号】#48754
【变更类型】",medium,config-align,否,S,medium-risk,vllm/config/speculative.py,同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 config 模块在 Ascend 行为一致
P3,0becb748,2026-07-16,other,bugfix,"【变更概述】[BugFix] [MLA] 新增：支持 kv_cache_dtype_skip_layers MLA 注意力
【PR号】#47309
【变更类型】此提交为问题修复类型
【变更文件】修改 ",low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/attention/mla_attention.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,2dab187f,2026-07-16,operator-kernel,performance,"【变更概述】[Perf] 优化：优化 `fused_topk_bias` DSv4 1.5~2x 内核 性能 improvement
【PR号】#47463
【变更类型】此提交为性能优化类型
【变更文",low,idea-copy,否,L,low-risk,"csrc/libtorch_stable/moe/topk_softplus_sqrt_kernels.cu, tests/kernels/moe/test_topk_softplus_sqrt.py, vllm/model_executor/layers/fused_moe/router/fused_topk_bias_router.py",理解上游优化思路（csrc/libtorch_stable/moe/topk_softplus_sqrt_kernels.cu） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,
P2,eb33ff34,2026-07-16,test-ci,performance,"【变更概述】[ROCm] [Perf] 更新：DSv4 two-stage compressor 内核 HCA prefill
【PR号】#47718
【变更类型】此提交为性能优化类型
【变更文件】修",medium,auto-inherit,否,S,medium-risk,"tests/kernels/test_compressor_kv_cache.py, vllm/models/deepseek_v4/common/ops/fused_compress_quant_cache.py, vllm/models/deepseek_v4/compressor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,2bd89576,2026-07-16,quantization,bugfix,"【变更概述】[Bugfix] [NVFP4 MoE] 更新：Pad gated intermediate 64 FlashInfer TRT-LLM shuffle M%128
【PR号】#46880",low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/quantization/utils/flashinfer_fp4_moe.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,ecf4aa5c,2026-07-16,test-ci,bugfix,"【变更概述】【MRV2】[Bugfix] 【MRV2】修复：修复 FlashInfer non-causal draft 注意力 DFlash/DSpark Blackwell
【PR号】#48167",none,skip,否,S,low-risk,"tests/v1/spec_decode/test_dflash_causality.py, tools/pre_commit/generate_attention_backend_docs.py, vllm/model_executor/models/qwen3_dflash.py",,
P2,b7950e79,2026-07-16,core-engine,bugfix,"【变更概述】【MRV2】[Bugfix] 【MRV2】更新：Initialize draft CUDA-graph keys native draft_model proposer
【PR号】#474",medium,cherry-pick,否,S,medium-risk,vllm/v1/worker/gpu_model_runner.py,Cherry-pick 上游 PR 到 vllm-ascend 对应路径 | 验证 vllm/v1/worker/gpu_model_runner.py 修改未破坏 NPUModelRunner,确认 core-engine 模块在 Ascend 行为一致
P3,43cd3402,2026-07-16,other,bugfix,"【变更概述】[Fix] 更新：Align OpenAI vllm_xargs value types across request schemas
【PR号】#48252
【变更类型】此提交为问题修复",low,auto-inherit,否,S,low-risk,"vllm/entrypoints/openai/completion/protocol.py, vllm/entrypoints/speech_to_text/transcription/protocol.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,1d99f0f4,2026-07-16,test-ci,bugfix,"【变更概述】[ROCm] [BugFix] 更新：Triton W4A16 handling GPTQ/AutoGPTQ qzeros layout
【PR号】#47770
【变更类型】此提交为问题修",low,auto-inherit,否,S,low-risk,"tests/kernels/quantization/test_triton_w4a16.py, vllm/model_executor/kernels/linear/mixed_precision/triton_w4a16.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,c7ce03bc,2026-07-18,other,bugfix,"【变更概述】升级 tml-fa4（FlashAttention 4 外部依赖）版本以适配 cutlass-dsl 4.6 的 API 变更，解决编译兼容性问题。
【PR号】#48988
【变更类型】b",low,auto-inherit,否,S,low-risk,cmake/external_projects/tml_fa4.cmake,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,d96aee09,2026-07-18,other,bugfix,【变更概述】修复 replicated 权重和 disable_tp 场景下权重重新加载时 tp_rank 不同步的问题。在 linear.py 的 process_weights_after_loa,low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/linear.py, vllm/model_executor/model_loader/reload/layerwise.py, vllm/model_executor/model_loader/utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,c71a583a,2026-07-18,other,performance,【变更概述】对 hybrid（Mamba/SSM）模型 _copy_mamba_state_block 进行向量化优化，将状态块拷贝改为 uint64 批量拷贝，提升 temporal 系列（如 Ma,low,auto-inherit,否,S,low-risk,vllm/v1/worker/mamba_utils.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,f12b80c6,2026-07-18,test-ci,bugfix,【变更概述】修复 ROCm 平台 GPT-OSS 模型使用 Quark MXFP4 量化时 MoE 加载的 emulation buffer 未按 block 对齐的问题。在 mxfp4.py 和 q,low,auto-inherit,否,S,low-risk,"tests/kernels/moe/test_ocp_mx_moe.py, vllm/model_executor/layers/fused_moe/oracle/mxfp4.py, vllm/model_executor/layers/quantization/quark/quark_moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,da64db78,2026-07-18,moe-fusion,performance,【变更概述】优化 TrtLlmLoRAExperts（TensorRT-LLM 风格的 LoRA MoE 专家）实现，重构 trtllm_lora_moe.py（+210/-40）并调整 lora_e,low,auto-inherit,否,S,low-risk,"vllm/model_executor/layers/fused_moe/experts/lora_experts_mixin.py, vllm/model_executor/layers/fused_moe/experts/trtllm_lora_moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,425c4eaf,2026-07-18,test-ci,performance,【变更概述】优化采样路径：apply_sampling_params 不再强制将 logits 上转为 fp32，改由后续 topk/topp 采样核按需处理精度。涉及 topk_topp_sampl,low,auto-inherit,否,S,low-risk,"tests/v1/sample/test_topk_topp_sampler.py, vllm/v1/sample/ops/topk_topp_sampler.py, vllm/v1/sample/ops/topk_topp_triton.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,fae54301,2026-07-18,other,performance,"【变更概述】将 beam-search 离线入口的 beam 拍平从 sum（O(n²)）改为 itertools.chain（O(n)），小幅性能优化。
【PR号】#48829
【变更类型】perf",low,auto-inherit,否,S,low-risk,vllm/entrypoints/generate/beam_search/offline.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,41ea2dd4,2026-07-18,test-ci,bugfix,"【变更概述】★★★ MRV2 重点 commit ★★★
修复 prompt_logprobs 未遵循 logprobs_mode 配置的问题。当 logprobs_mode 为 raw_logits",medium,config-align,否,M,medium-risk,"tests/v1/sample/test_logprobs.py, vllm/config/model.py, vllm/config/vllm.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P3,b5433b6f,2026-07-18,operator-kernel,performance,【变更概述】为 DeepSeek-V4（DSV4）的 MoE routing 引入专用 CUDA kernel topk_softplus_sqrt，在 csrc/libtorch_stable/mo,low,idea-copy,否,L,low-risk,"csrc/libtorch_stable/moe/topk_softplus_sqrt_kernels.cu, tests/kernels/moe/test_topk_softplus_sqrt.py, vllm/model_executor/layers/fused_moe/router/dsv4_topk.py",理解上游优化思路（csrc/libtorch_stable/moe/topk_softplus_sqrt_kernels.cu） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,
P3,c4cd2bd5,2026-07-18,test-ci,bugfix,【变更概述】修复 MoRIIO toy P/D（Prefill/Decode 分离）代理服务器在 DP-rank 索引别名上的问题，并增强高并发突发场景下的鲁棒性。修改 examples/disagg,low,auto-inherit,否,S,low-risk,"examples/disaggregated/disaggregated_serving/moriio_toy_proxy_server.py, tests/v1/kv_connector/unit/test_moriio_proxy_routing.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,bf578e1a,2026-07-18,test-ci,bugfix,【变更概述】修复 GLM-4V（glm4_1v.py）在视频 dummy profiling（预分配 profiling）时的内存使用问题，重构视频处理路径（+20/-49）。补充 test_glm4,medium,auto-inherit,否,S,medium-risk,"tests/models/multimodal/processing/test_glm4_1v.py, vllm/model_executor/models/glm4_1v.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,efed8a1e,2026-07-18,attention-kv-cache,performance,【变更概述】优化 ROCm gfx950 上 DSV4 sparse decode reduction 的占用率，调整 vllm/v1/attention/ops/rocm_aiter_mla_spa,medium,idea-copy,否,L,medium-risk,vllm/v1/attention/ops/rocm_aiter_mla_sparse.py,理解上游优化思路（vllm/v1/attention/ops/rocm_aiter_mla_sparse.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 attention-kv-cache 模块在 Ascend 行为一致
P3,11d29151,2026-07-18,test-ci,bugfix,【变更概述】修复 MiniMax M2、Qwen3、MiniCPM5 XML 工具解析器在解析参数值时丢失空白字符的问题。修改 minimax_m2.py / qwen3.py / minicpm5x,low,auto-inherit,否,S,low-risk,"tests/parser/engine/test_qwen3.py, tests/tool_parsers/test_minicpm5xml_tool_parser.py, tests/tool_parsers/test_minimax_m2_tool_parser.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,e6d1310b,2026-07-19,test-ci,bugfix,【变更概述】修复 pooling 参数被移除后的校验问题。当用户传入已被废弃的 pooling 参数时，vLLM 此前会静默忽略，现在改为显式抛出 Pydantic BeforeValidator 校,medium,config-align,否,M,medium-risk,"tests/test_pooling_params.py, vllm/config/pooler.py, vllm/entrypoints/pooling/base/protocol.py",同步 vllm/config/ 下的默认值 | 验证 Ascend 侧配置语义一致,确认 test-ci 模块在 Ascend 行为一致
P2,7c2acd38,2026-07-19,model-architecture,bugfix,【变更概述】修复 Qwen3-VL 与 Qwen2.5-Omni 在处理视频提示时未遵循 max_pixels/min_pixels 参数的 bug。修改 vllm/model_executor/mo,medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/models/qwen2_5_omni_thinker.py, vllm/model_executor/models/qwen3_vl.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,e9424389,2026-07-19,attention-kv-cache,performance,【变更概述】为 ROCm 平台的 DeepSeek V3.2 sparse MLA decode 添加 KV-splits 工作量上限启发式。修改 vllm/v1/attention/backends,medium,idea-copy,否,L,medium-risk,vllm/v1/attention/backends/mla/rocm_aiter_mla_sparse.py,理解上游优化思路（vllm/v1/attention/backends/mla/rocm_aiter_mla_sparse.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,确认 attention-kv-cache 模块在 Ascend 行为一致
P2,0a5069e4,2026-07-20,test-ci,bugfix,【变更概述】修复 Gemma4 模型在 ModelOpt 混合精度量化时 MoE 专家权重路径映射错误。主要变更：(1) 新增 _GEMMA4_EXPERT_PARENT_MAPPER Weights,medium,auto-inherit,否,S,medium-risk,"tests/quantization/test_modelopt.py, vllm/model_executor/models/gemma4.py, vllm/model_executor/models/gemma4_mm.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,8ce53a61,2026-07-20,other,bugfix,【变更概述】修复量化 + 滑动窗口混合 KV 缓存场景下，新分配的 KV 块未零初始化导致 decode 阶段读取到 NaN/Inf 的问题。主要变更：(1) 新增 KVCacheConfig.has,low,auto-inherit,否,S,low-risk,vllm/v1/kv_cache_interface.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,530ee36a,2026-07-20,test-ci,bugfix,【变更概述】修复 OpenAI 兼容接口中非数字 logprobs 值导致 HTTP 500 错误的问题。主要变更：在 ChatCompletionRequest 和 CompletionReques,low,auto-inherit,否,S,low-risk,"tests/entrypoints/openai/chat_completion/test_chat_error.py, tests/entrypoints/openai/completion/test_completion_error.py, vllm/entrypoints/openai/chat_completion/protocol.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,d835ad57,2026-07-20,other,bugfix,[Bugfix][Rust Frontend] Map missing prompt logprobs for single-token prompts in chat and raw generat,none,skip,否,S,low-risk,"rust/src/server/src/routes/inference/generate.rs, rust/src/server/src/routes/openai/chat_completions.rs, rust/src/server/src/routes/openai/completions.rs",,
P3,8950394e,2026-07-21,test-ci,bugfix,【变更概述】修复当 KV connector 延迟请求时 prefix-cache 命中指标被重复计数的问题。修改 v1 scheduler（+34/-30）和 kv_cache_manager（+1,low,auto-inherit,否,S,low-risk,"tests/v1/core/test_scheduler.py, tests/v1/core/utils.py, tests/v1/kv_connector/unit/utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,7bb49be4,2026-07-21,other,bugfix,"【变更概述】修复 FA4 JIT 预热阶段 MLA 模型回退处理的边界问题。修改 fa4_cutedsl_warmup.py（+5/-1）。
【PR号】#49306
【变更类型】bugfix - JI",low,auto-inherit,否,S,low-risk,vllm/model_executor/warmup/fa4_cutedsl_warmup.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,f890e1db,2026-07-21,test-ci,bugfix,【变更概述】【MRV2 相关】修复 MRV2 中 FULL CUDA graph 捕获前未设置 graph_pool_id 的问题。修改 vllm/v1/worker/gpu/cudagraph_ut,low,idea-copy,否,L,low-risk,"tests/v1/cudagraph/test_cudagraph_manager.py, vllm/v1/worker/gpu/cudagraph_utils.py",理解上游优化思路（tests/v1/cudagraph/test_cudagraph_manager.py） | 用 Ascend 算子（TBE/AscendCL）重新实现 | 性能对比验证收益,
skip,5b3762a7,2026-07-21,operator-kernel,bugfix,[Bugfix][CPU] Fix Clang OpenMP build on macOS (#49021),none,skip,否,S,low-risk,csrc/cpu/cpu_attn_vec.hpp,,
P2,4d30c510,2026-07-21,test-ci,bugfix,【变更概述】修复 Cosmos3 Edge 多模态模型的 checkpoint 权重过滤、视频加载和提示扩展问题。修改 cosmos3_edge.py（+8/-1）和 video.py（+1/-1）。,medium,auto-inherit,否,S,medium-risk,"tests/models/multimodal/processing/test_cosmos3_edge.py, tests/models/multimodal/test_mapping.py, tests/multimodal/test_video.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,1134545b,2026-07-21,test-ci,bugfix,【变更概述】【MRV2 相关】回退 PR #48641，恢复在 apply_sampling_params 中将 logits 上转为 fp32 的行为。修改 MRV2 采样路径 vllm/v1/wo,low,auto-inherit,否,S,low-risk,"tests/v1/sample/test_topk_topp_sampler.py, vllm/v1/sample/ops/topk_topp_sampler.py, vllm/v1/sample/ops/topk_topp_triton.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,3e0c8875,2026-07-21,model-architecture,bugfix,"【变更概述】修复 Ovis2.5 多模态模型在 transformers v5 下的特殊 token 处理问题。修改 ovis2_5.py（+3/-4）和 processor（+9/-15）。
【PR",medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/models/ovis2_5.py, vllm/transformers_utils/processors/ovis2_5.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,8def3cdd,2026-07-21,model-architecture,bugfix,【变更概述】修复 LFM2 模型 ShortConv 投影层未接收 quant_config 导致量化不正确的问题。修改 short_conv.py（+4/-0）、lfm2.py（+1/-0）、lfm,medium,auto-inherit,否,S,medium-risk,"vllm/model_executor/layers/mamba/short_conv.py, vllm/model_executor/models/lfm2.py, vllm/model_executor/models/lfm2_moe.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
skip,f25953cc,2026-07-21,other,bugfix,[Bugfix][Rust Frontend] Handle zero-column logprobs payloads without panicking (#49113),none,skip,否,S,low-risk,"rust/src/engine-core-client/src/protocol/logprobs.rs, rust/src/engine-core-client/src/protocol/logprobs/tests.rs",,
P3,94ed0bf4,2026-07-21,test-ci,bugfix,【变更概述】修复 KV Offloading connector 在处理已排队但未分配 KV block 请求中止时的错误。修改 offloading/scheduler.py（+12/-6），新增测,low,auto-inherit,否,S,low-risk,"tests/v1/kv_connector/unit/offloading_connector/test_scheduler.py, vllm/distributed/kv_transfer/kv_connector/v1/offloading/scheduler.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
skip,0a684ab0,2026-07-21,other,bugfix,【变更概述】修复 Windows WSL 环境下 pin_memory 的 warning_once 机制导致的循环导入问题。修改 platforms/cuda.py（+2/-1）和 interfac,none,skip,否,S,low-risk,"vllm/platforms/cuda.py, vllm/platforms/interface.py",,
skip,0d9210a5,2026-07-21,operator-kernel,performance,Fixes non-coalesced HBM access in marlin_int4_fp8_preprocess_kernel_awq (#47268),none,skip,否,S,low-risk,csrc/libtorch_stable/quantization/marlin/marlin_int4_fp8_preprocess.cu,,
P2,2e2e626b,2026-07-21,test-ci,bugfix,【变更概述】修复 get_max_concurrency_for_kv_cache_config 中未按 per-group 统计 KV cache block 数的问题。修改 kv_cache_ut,medium,auto-inherit,否,S,medium-risk,"tests/v1/core/test_kv_cache_utils.py, vllm/v1/core/kv_cache_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,58b2012a,2026-07-21,test-ci,bugfix,【变更概述】修复 CuMem（CUDA 内存管理）slept-L1 碎片化统计问题。修改 mem_utils.py（+22/-9）和 gpu_worker.py（+21/-35），新增 test_me,low,auto-inherit,否,S,low-risk,"tests/models/language/pooling/test_reward.py, tests/utils_/test_mem_utils.py, vllm/utils/mem_utils.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,53c2f20d,2026-07-22,moe-fusion,bugfix,【变更概述】修复 ROCm 平台 EPLB（Expert-Level Load Balancing）启用时 MoE 权重填充导致的冲突问题。EPLB 要求权重连续以进行 view/重排操作，而原有的权,low,auto-inherit,否,S,low-risk,vllm/model_executor/layers/fused_moe/unquantized_fused_moe_method.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,37e370fe,2026-07-22,test-ci,performance,【变更概述】为 DeepSeek V4 压缩器（compressor）添加 c128 边界检测机制，在上下文无需 c128 压缩时跳过空内核启动，实现约 2 倍的内核性能提升。核心新增 _get_c1,medium,auto-inherit,否,S,medium-risk,"tests/kernels/test_compressor_kv_cache.py, vllm/models/deepseek_v4/compressor.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P3,2dc5a72e,2026-07-22,other,bugfix,【变更概述】修复异步渲染路径中视觉 chunk UUID 未重建的问题。在 HfRenderer 中，当检测到多模态数据需要异步渲染时，调用 rebuild_mm_uuids_from_mm_data,low,auto-inherit,否,S,low-risk,vllm/renderers/hf.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,d6dbdb9b,2026-07-22,operator-kernel,bugfix,【变更概述】为 XPU 平台添加 topk_softplus_sqrt 算子参数不匹配的临时规避方案（Workaround）。当平台为 XPU 时，调用不带 is_padding 参数的旧版 topk,low,auto-inherit,否,S,low-risk,vllm/_custom_ops.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,06da482f,2026-07-22,operator-kernel,bugfix,【变更概述】为 XPU 平台添加 topk_softmax 算子参数不匹配的临时规避方案（Workaround）。当平台为 XPU 时，调用不带 is_padding 参数的旧版 topk_softm,low,auto-inherit,否,S,low-risk,vllm/_custom_ops.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,7c21548c,2026-07-22,distributed,bugfix,【变更概述】修复 NIXL KV connector 在混合 MLA+Mamba（SSM）模型异构 TP 场景下的错误行为。纯 MLA 场景下 KV cache 是复制的，只需单次读取；但混合 MLA,low,auto-inherit,否,S,low-risk,"vllm/distributed/kv_transfer/kv_connector/v1/nixl/base_worker.py, vllm/distributed/kv_transfer/kv_connector/v1/nixl/pull_worker.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P2,060b5f61,2026-07-22,test-ci,bugfix,【变更概述】修复 MLA（Multi-Head Latent Attention）在 PCP（Prefill Context Parallelism）场景下，空的上下文 chunk 导致 attent,medium,auto-inherit,否,S,medium-risk,"tests/evals/gsm8k/configs/GLM-5.2-NVFP4-TP1-PCP4-EP.yaml, tests/evals/gsm8k/configs/GLM-5.2-NVFP4-TP2-PCP2-EP.yaml, tests/kernels/attention/test_merge_attn_states.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,ba189290,2026-07-22,test-ci,bugfix,【变更概述】修复 MTP（Multi-Token Prediction）投机解码在权重传输（weight transfer）场景下完整性检查误报的问题。原代码在所有 load_weights 调用中都,medium,auto-inherit,否,S,medium-risk,"tests/model_executor/model_loader/test_mtp_validation.py, vllm/distributed/weight_transfer/ipc_engine.py, vllm/distributed/weight_transfer/nccl_engine.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 test-ci 模块在 Ascend 行为一致
P2,c8db00b1,2026-07-23,model-architecture,bugfix,【变更概述】修复 GPTQ 量化模式下 Qwen3.5 MTP（Multi-Token Prediction）模型在使用投机解码时权重加载错误的问题。修改 vllm/model_executor/mo,medium,auto-inherit,否,S,medium-risk,vllm/model_executor/models/qwen3_5_mtp.py,确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 model-architecture 模块在 Ascend 行为一致
P2,80c76839,2026-07-23,multimodal,performance,【变更概述】将多模态 embeds（图像/视频/音频嵌入）的加载操作从主事件循环中分离，改为延迟异步执行，避免阻塞事件循环导致请求处理延迟。修改 vllm/entrypoints/chat_utils,medium,auto-inherit,否,S,medium-risk,"vllm/entrypoints/chat_utils.py, vllm/multimodal/media/connector.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,确认 multimodal 模块在 Ascend 行为一致
skip,638d6e97,2026-07-23,test-ci,bugfix,[Bugfix][CI/Build] Fix Plamo2 HF runner crash on transformers v5 (_tied_weights_keys list→dict) (#44,none,skip,否,S,low-risk,"tests/conftest.py, tests/models/registry.py",,
P3,1ad84fea,2026-07-23,test-ci,bugfix,【变更概述】修复投机解码中 stop string 检测的边界问题。当多个 stop string 同时匹配时，此前可能选择非最早的停止点导致生成多余 token。修改 vllm/v1/engine/,low,auto-inherit,否,S,low-risk,"tests/detokenizer/test_check_stop_strings.py, vllm/v1/engine/detokenizer.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,12213c67,2026-07-23,test-ci,bugfix,【变更概述】修复结构化输出语法编译失败时导致引擎崩溃的问题。此前当 XGrammar/LLGuidance 等语法编译失败时，异常会传播到引擎核心导致整个服务崩溃。修改 vllm/v1/core/sc,low,auto-inherit,否,S,low-risk,"tests/v1/core/test_async_scheduler.py, tests/v1/core/test_scheduler.py, vllm/v1/core/sched/interface.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
P3,10c75477,2026-07-23,test-ci,bugfix,【变更概述】修复共享内存广播（shm_broadcast）机制中空闲 reader 无限等待与读取槽位未释放的问题。此前空闲 reader 会持续等待导致资源泄漏，修改 vllm/distribute,low,auto-inherit,否,S,low-risk,"tests/distributed/test_shm_broadcast.py, vllm/distributed/device_communicators/shm_broadcast.py",确认 Ascend 未 patch 该路径 | 上游修复自动继承，无需操作,
